StoreID,StoreName,City,State
S039,Indore Store,Indore,Madhya Pradesh
S049,  Hyderabad Store  ,Hyderabad,Telangana
S068,Coimbatore Store,Coimbatore,Tamil Nadu
S062,,Patna,Bihar
S085,Bangalore Hub,Bangalore,Karnataka
S042,Chennai Store,Chennai,Tamil Nadu
S072,Kanpur Store,Kanpur,
S066,Ahmedabad Store,Ahmedabad,Gujarat
S067,Bangalore Outlet,Bangalore,Karnataka
S018,Kolkata Store,Kolkata,West Bengal
S091,Mumbai Outlet,Mumbai,Maharashtra
S008,Mumbai Superstore,Mumbai,Maharashtra
S094,Chandigarh Store,Chandigarh,Chandigarh
S095,Nagpur Store,Nagpur,Maharashtra
S061,Bhopal Store,Bhopal,Madhya Pradesh
S079,Bangalore Store,Bangalore,Karnataka
S100,Pune Mart,Pune,Maharashtra
S065,  Gurgaon Store  ,Gurgaon,Haryana
S063,Gurgaon Superstore,Gurgaon,Haryana
S027,Jaipur Store,Jaipur,Rajasthan
S089,Lucknow Outlet,Lucknow,Uttar Pradesh
S053,Indore Store,Indore,Madhya Pradesh
S020,Mumbai Hub,Mumbai,Maharashtra
S054,Surat Store,Surat,GJ
S041,Patna Store,Patna,
S057,Bangalore Store,Bangalore,Karnataka
S003,Delhi Store,Delhi,Delhi
S025,  Kolkata Store  ,Kolkata,West Bengal
S015,Coimbatore Store,,Tamil Nadu
S090,Chandigarh Store,Chandigarh,Chandigarh
S074,Chandigarh Store,Chandigarh,Chandigarh
S005,  Kolkata Store  ,Kolkata,West Bengal
S032,Ahmedabad Superstore,,Gujarat
S088,Nagpur Store,Nagpur,
S106,Gurgaon Center,Gurgaon,Haryana
S019,Coimbatore Store,Coimbatore,Tamil Nadu
S098,Surat Store,Surat,Gujarat
S044,  Lucknow Store  ,Lucknow,Uttar Pradesh
